variant,n,accuracy,precision,recall,f1,auroc,acc@fixed_thr,recall@fixed_thr,fpr@fixed_thr
clean,200,0.835,0.8383838383838383,0.83,0.8341708542713567,0.902,0.785,0.62,0.05
jpeg_q90,200,0.825,0.8282828282828283,0.82,0.8241206030150754,0.9056,0.79,0.6,0.02
jpeg_q70,200,0.82,0.8137254901960784,0.83,0.8217821782178217,0.9066,0.785,0.6,0.03
jpeg_q50,200,0.84,0.84,0.84,0.84,0.9136000000000001,0.775,0.57,0.02
jpeg_q30,200,0.775,0.7522935779816514,0.82,0.784688995215311,0.8799,0.755,0.54,0.03
blur_sigma0.5,200,0.79,0.8625,0.69,0.7666666666666667,0.8726,0.72,0.45,0.01
blur_sigma1.0,200,0.75,0.7906976744186046,0.68,0.7311827956989247,0.84,0.72,0.46,0.02
blur_sigma2.0,200,0.765,0.8045977011494253,0.7,0.7486631016042781,0.8057000000000001,0.645,0.32,0.03
resize_0.5x,200,0.75,0.7906976744186046,0.68,0.7311827956989247,0.8586999999999999,0.75,0.51,0.01
resize_0.25x,200,0.75,0.7717391304347826,0.71,0.7395833333333334,0.7917000000000001,0.625,0.29,0.04
noise_sigma0.02,200,0.765,0.7789473684210526,0.74,0.7589743589743589,0.8436999999999999,0.72,0.48,0.04
noise_sigma0.05,200,0.75,0.7232142857142857,0.81,0.7641509433962265,0.8228,0.71,0.5,0.08
noise_sigma0.10,200,0.705,0.7887323943661971,0.56,0.6549707602339181,0.7804,0.585,0.18,0.01
color_jitter+20%,200,0.84,0.84,0.84,0.84,0.8938,0.74,0.53,0.05
color_jitter-20%,200,0.78,0.7916666666666666,0.76,0.7755102040816326,0.8481,0.68,0.44,0.08
center_crop_80%,200,0.825,0.8735632183908046,0.76,0.8128342245989305,0.8799,0.685,0.39,0.02
