variant,n,accuracy,precision,recall,f1,auroc,acc@fixed_thr,recall@fixed_thr,fpr@fixed_thr
clean,200,0.855,0.8514851485148515,0.86,0.8557213930348259,0.9298,0.785,0.62,0.05
jpeg_q90,200,0.855,0.8514851485148515,0.86,0.8557213930348259,0.9298,0.795,0.64,0.05
jpeg_q70,200,0.845,0.8484848484848485,0.84,0.8442211055276382,0.9309999999999999,0.79,0.63,0.05
jpeg_q50,200,0.87,0.8557692307692307,0.89,0.8725490196078431,0.9341,0.82,0.67,0.03
jpeg_q30,200,0.82,0.7909090909090909,0.87,0.8285714285714286,0.8996999999999999,0.77,0.57,0.03
blur_sigma0.5,200,0.815,0.8888888888888888,0.72,0.7955801104972375,0.9048,0.69,0.4,0.02
blur_sigma1.0,200,0.76,0.7708333333333334,0.74,0.7551020408163265,0.8466,0.705,0.44,0.03
blur_sigma2.0,200,0.755,0.8072289156626506,0.67,0.73224043715847,0.81,0.645,0.32,0.03
resize_0.5x,200,0.765,0.7789473684210526,0.74,0.7589743589743589,0.8578999999999999,0.71,0.44,0.02
resize_0.25x,200,0.705,0.7029702970297029,0.71,0.7064676616915423,0.7853,0.64,0.32,0.04
noise_sigma0.02,200,0.775,0.7835051546391752,0.76,0.7715736040609137,0.8624999999999999,0.7,0.45,0.05
noise_sigma0.05,200,0.765,0.7264957264957265,0.85,0.783410138248848,0.8481000000000001,0.705,0.48,0.07
noise_sigma0.10,200,0.7,0.7439024390243902,0.61,0.6703296703296703,0.7974,0.615,0.23,0.0
color_jitter+20%,200,0.83,0.8,0.88,0.8380952380952381,0.9197,0.795,0.62,0.03
color_jitter-20%,200,0.775,0.7722772277227723,0.78,0.7761194029850746,0.871,0.695,0.45,0.06
center_crop_80%,200,0.82,0.8555555555555555,0.77,0.8105263157894737,0.9014,0.67,0.37,0.03
