variant,n,accuracy,precision,recall,f1,auroc,acc@fixed_thr,recall@fixed_thr,fpr@fixed_thr
clean,200,0.82,0.8137254901960784,0.83,0.8217821782178217,0.9109999999999999,0.8,0.65,0.05
jpeg_q90,200,0.805,0.7904761904761904,0.83,0.8097560975609757,0.8956,0.795,0.65,0.06
jpeg_q70,200,0.825,0.7927927927927928,0.88,0.8341232227488151,0.9009,0.8,0.71,0.11
jpeg_q50,200,0.77,0.7076923076923077,0.92,0.8,0.8695999999999999,0.805,0.82,0.21
jpeg_q30,200,0.775,0.8313253012048193,0.69,0.7540983606557377,0.8699,0.71,0.47,0.05
blur_sigma0.5,200,0.665,0.9024390243902439,0.37,0.524822695035461,0.8475000000000001,0.605,0.22,0.01
blur_sigma1.0,200,0.605,0.7692307692307693,0.3,0.4316546762589928,0.6486,0.56,0.16,0.04
blur_sigma2.0,200,0.535,0.5191256830601093,0.95,0.6713780918727915,0.6352,0.55,0.86,0.76
resize_0.5x,200,0.575,0.7419354838709677,0.23,0.3511450381679389,0.6508999999999999,0.55,0.14,0.04
resize_0.25x,200,0.51,0.5052083333333334,0.97,0.6643835616438356,0.5976,0.53,0.92,0.86
noise_sigma0.02,200,0.82,0.872093023255814,0.75,0.8064516129032258,0.8781000000000001,0.73,0.5,0.04
noise_sigma0.05,200,0.735,0.7117117117117117,0.79,0.7488151658767772,0.8122,0.74,0.61,0.13
noise_sigma0.10,200,0.55,0.526595744680851,0.99,0.6875,0.749,0.635,0.91,0.64
color_jitter+20%,200,0.77,0.7142857142857143,0.9,0.7964601769911505,0.858,0.78,0.8,0.24
color_jitter-20%,200,0.76,0.8333333333333334,0.65,0.7303370786516854,0.8698,0.69,0.4,0.02
center_crop_80%,200,0.63,0.8611111111111112,0.31,0.45588235294117646,0.7930999999999999,0.56,0.12,0.0
