variant,n,accuracy,precision,recall,f1,auroc,acc@fixed_thr,recall@fixed_thr,fpr@fixed_thr
clean,200,0.825,0.8571428571428571,0.78,0.8167539267015707,0.9075,0.77,0.59,0.05
jpeg_q90,200,0.83,0.8586956521739131,0.79,0.8229166666666666,0.9065,0.76,0.56,0.04
jpeg_q70,200,0.83,0.8666666666666667,0.78,0.8210526315789474,0.9059,0.77,0.57,0.03
jpeg_q50,200,0.795,0.8390804597701149,0.73,0.7807486631016043,0.8896999999999999,0.71,0.45,0.03
jpeg_q30,200,0.775,0.7722772277227723,0.78,0.7761194029850746,0.8811,0.73,0.49,0.03
blur_sigma0.5,200,0.805,0.8505747126436781,0.74,0.7914438502673797,0.8897,0.745,0.51,0.02
blur_sigma1.0,200,0.755,0.7297297297297297,0.81,0.7677725118483413,0.8532,0.765,0.55,0.02
blur_sigma2.0,200,0.665,0.6460176991150443,0.73,0.6854460093896714,0.7748,0.68,0.43,0.07
resize_0.5x,200,0.755,0.7383177570093458,0.79,0.7632850241545893,0.8573,0.75,0.54,0.04
resize_0.25x,200,0.67,0.6491228070175439,0.74,0.6915887850467289,0.7608,0.655,0.39,0.08
noise_sigma0.02,200,0.805,0.7747747747747747,0.86,0.8151658767772512,0.8699000000000001,0.735,0.54,0.07
noise_sigma0.05,200,0.76,0.7096774193548387,0.88,0.7857142857142857,0.8460000000000001,0.765,0.63,0.1
noise_sigma0.10,200,0.735,0.7373737373737373,0.73,0.7336683417085427,0.8048,0.625,0.27,0.02
color_jitter+20%,200,0.765,0.7572815533980582,0.78,0.7684729064039408,0.8873000000000001,0.755,0.54,0.03
color_jitter-20%,200,0.78,0.8043478260869565,0.74,0.7708333333333334,0.871,0.73,0.51,0.05
center_crop_80%,200,0.765,0.8045977011494253,0.7,0.7486631016042781,0.8608,0.69,0.43,0.05
